recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-005443,2-Jun-22,KIA,"QL Sportage, UM Sorento",2014 - 2020 2015 - 2021,"31,060","Due to a software issue, the Heater Core Element may operate at a higher than intended temperature causing damage to the connector. If this occurs it may result in a vehicle fire. Due to a software issue, the Heater Core Element may operate at a higher than intended temperature causing damage to the connector. If this occurs it may result in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005443
REC-005445,2-Jun-22,PORSCHE,TAYCAN,2019 - 2021,406,"The protective fabric covering of the front seats wire harness may become damaged when adjusting the seat. If this was to occur it will activate the airbag warning light in the instrument cluster. The protective fabric covering of the front seats wire harness may become damaged when adjusting the seat. If this was to occur it will activate the airbag warning light in the instrument cluster. What are the hazards? If the airbag warning light is active, there is no guarantee that the restraint systems will function correctly. This increases the risk of serious injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-005445
REC-005446,25-May-22,Mercedes-Benz,E220 D,2016 - 2018,26,"Due to a manufacturing defect, the timing chain may wear prematurely and break. As a result the vehicle may experience a sudden loss of power. Due to a manufacturing defect, the timing chain may wear prematurely and break. As a result the vehicle may experience a sudden loss of power. What are the hazards? A loss of power while driving increases the risk of an accident, causing serious injury or death to vehicle occupants, other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005446
REC-005447,25-May-22,Mercedes-Benz,"S450, C 200",2021,264,"Due to a software issue, the rear turning indicators, brakes and hazard lights may not operate as intended. The driver will receive warning signals in the instrument cluster. Due to a software issue, the rear turning indicators, brakes and hazard lights may not operate as intended. The driver will receive warning signals in the instrument cluster. What are the hazards? If the rear lighting system of the vehicle is not operating as intended, other road users would be unable to identify if the vehicle is turning, braking or reversing. This could increase the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005447
REC-005448,6-Jun-22,HYUNDAI,Ioniq 5 (NE),2021 - 2022,578,"Due to a software issue with the Shift Control Unit (SCU), the parking pawl (P) may fail. This could result in vehicle moving or rolling away whilst engaged in park position. Due to a software issue with the Shift Control Unit (SCU), the parking pawl (P) may fail. This could result in vehicle moving or rolling away whilst engaged in park position. What are the hazards? If the vehicle moves from the parked position while unattended, it may increase the risk of a crash causing injuries to others and possible damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005448
REC-005450,9-Jun-22,Mercedes-Benz,GLE and GLS,2019 - 2021,804,"Due to a manufacturing defect, the threaded nut connecting the negative terminal for the 48 Volt electrical system under the front passenger seat may not have been tightened sufficiently. If the terminal loosens this could result in higher than intended temperature and cause a vehicle fire. Due to a manufacturing defect, the threaded nut connecting the negative terminal for the 48 Volt electrical system under the front passenger seat may not have been tightened sufficiently. If the terminal loosens this could result in higher than intended temperature and cause a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users or bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005450
REC-005452,2-Jun-22,Mercedes-Benz,C Class,2022,2,"Due to a software issue, the overhead control panel may fail. In this case, voice connection with the emergency call centre may fail and vehicle data will not be transferred. Due to a software issue, the overhead control panel may fail. In this case, voice connection with the emergency call centre may fail and vehicle data will not be transferred. What are the hazards? In the event of an emergency, if the vehicle occupants are unable to connect with emergency call centre, emergency vehicles may not be directed to the affected vehicle. This could increase the risk of death if a serious injury has occurred.",https://www.vehiclerecalls.gov.au/recalls/rec-005452
REC-005455,7-Jun-22,KIA,EV6,2021 - 2022,315,"Due to a software issue with the Shift Control Unit (SCU), the parking pawl may fail. This could result in vehicle moving or rolling away whilst the vehicle is engaged in the park position. Due to a software issue with the Shift Control Unit (SCU), the parking pawl may fail. This could result in vehicle moving or rolling away whilst the vehicle is engaged in the park position. What are the hazards? If the vehicle moves from it’s parked position while unattended, it may increase the risk of a crash causing injuries to others and possible damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005455
REC-005457,4-Jul-22,HYUNDAI,Santa Fe (TM),2021,34,"Due to a manufacture issue, the seat belt pre-tensioner inflator may fracture when deployed in the event of an accident. Due to a manufacture issue, the seat belt pre-tensioner inflator may fracture when deployed in the event of an accident. What are the hazards? If the seat belt pre-tensioner inflator fractures, metal fragments may be propelled at high speed towards the vehicle occupants causing serious injury.",https://www.vehiclerecalls.gov.au/recalls/rec-005457
REC-005458,27-Jun-22,HYUNDAI,Tucson (TL),2017 - 2018,"2,540","Due to a manufacturing issue, the connector to the Heater Core may overheat due to a faulty electrical connection. This may cause excess heat in the connection. If this occurs it may result in a vehicle fire. Due to a manufacturing issue, the connector to the Heater Core may overheat due to a faulty electrical connection. This may cause excess heat in the connection. If this occurs it may result in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of an accident, causing injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005458
REC-005459,15-Jun-22,Toyota,Kluger Petrol (GSU70R & GSU75R) and Kluger Hybrid (AXUH78R),2021,"5,417","Due to a manufacturing issue, the seat-back frames were not manufactured with the minimum radius criteria to meet the requirements of the Australian Design Rule (ADR 3/03 Seats and Seat Anchorages). The front seat back frames were manufactured with a sharper angle near the headrest than specified by the ADR. Due to a manufacturing issue, the seat-back frames were not manufactured with the minimum radius criteria to meet the requirements of the Australian Design Rule (ADR 3/03 Seats and Seat Anchorages). The front seat back frames were manufactured with a sharper angle near the headrest than specified by the ADR.",https://www.vehiclerecalls.gov.au/recalls/rec-005459
REC-005460,9-Jun-22,Mercedes-Benz,GLC and EQC,2021,2,"Due to a manufacturing defect, the headlights may not operate as intended. Due to a manufacturing defect, the headlights may not operate as intended. What are the hazards? If the vehicle headlights do not operate as intended, it could increase the risk of an accident causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005460
REC-005461,6-Jun-22,Mercedes-Benz,C and S Class,2021,657,"Due to a software issue, the automatic network search of the emergency call system (eCall) communication module may be deactivated. In this case, the automatic and manual emergency call may not be available outside of the network coverage of certain providers. Due to a software issue, the automatic network search of the emergency call system (eCall) communication module may be deactivated. In this case, the automatic and manual emergency call may not be available outside of the network coverage of certain providers. What are the hazards? If the eCall system is deactivated, in the event of an emergency it would not be possible for the vehicle occupants to connect with emergency services, either manually or automatically. As a consequence, emergency vehicles may not be directed to the affected vehicle or may be delayed. This could increase the risk of death if a serious injury has occurred.",https://www.vehiclerecalls.gov.au/recalls/rec-005461
REC-005462,23-Jun-22,Mercedes-Benz,GLB,2021,13,"The sensor connection to the rear axle may not meet manufacturing specifications. As a result, the vehicle headlamps may not operate as intended. The range control of the headlamps may calibrate in the opposite direction when the rear bench seat, trunk, or third seat row is in use. The sensor connection to the rear axle may not meet manufacturing specifications. As a result, the vehicle headlamps may not operate as intended. The range control of the headlamps may calibrate in the opposite direction when the rear bench seat, trunk, or third seat row is in use. What are the hazards? If the headlamps of the vehicle do not operate as intended, it could increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005462
REC-005463,17-Jun-22,VOLKSWAGEN,Polo,2021,332,"Due to a manufacturing issue, the roof spoiler may not have been bonded correctly and could become loose and detach from the vehicle. Due to a manufacturing issue, the roof spoiler may not have been bonded correctly and could become loose and detach from the vehicle. What are the hazards? If the roof spoiler detaches from the vehicle there is an increased risk of injury or death to road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005463
REC-005464,30-Jun-22,KIA,JA PE Picanto,2020 - 2022,"9,761","If the rear fog lamp is switched ON after the ignition has been switched OFF and the driver’s door opened, the audible warning will not sound. If the rear fog lamp is switched ON after the ignition has been switched OFF and the driver’s door opened, the audible warning will not sound. What are the hazards? The vehicle is not compliant with Australian Design Rule 13/00.",https://www.vehiclerecalls.gov.au/recalls/rec-005464
REC-005465,23-Jun-22,Mercedes-Benz,A Class,2019,326,"Due to a manufacturing issue, the volume of transmission oil in vehicles may be too high or too low. Due to a manufacturing issue, the volume of transmission oil in vehicles may be too high or too low. What are the hazards? Incorrect levels of transmission oil could result in the vehicle stalling. If the oil level is too high, oil may leak and cause a fire. These hazards increase the risk of an accident causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005465
REC-005468,27-Jun-22,Ford,MUSTANG,2018 - 2020,"2,304","Due to a manufacturing issue, the rear-view camera display, reverse lamps, and various driver assist features may not operate as intended. The driver will receive warning signals in the instrument cluster. Due to a manufacturing issue, the rear-view camera display, reverse lamps, and various driver assist features may not operate as intended. The driver will receive warning signals in the instrument cluster. What are the hazards? If the rear-view camera display or reverse lamps are not operating as intended. This could increase the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005468
REC-005469,4-Jul-22,LAMBORGHINI,Huracan MY22,2022,8,"Due to improper assembly during production, the left door latching mechanism may have been incorrectly positioned and could become loose over time. As a result the left door may not be able to be opened using the external handles. Due to improper assembly during production, the left door latching mechanism may have been incorrectly positioned and could become loose over time. As a result the left door may not be able to be opened using the external handles. What are the hazards? If the door cannot be opened using the external handle, first responders may not be able to assist vehicle occupants in an emergency. This may increase the risk of injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-005469
REC-005472,18-Jul-22,KIA,BD Cerato,2022,"1,694","The label with the required safety information and instructions may not have been affixed to the vehicle jack as required. This may result in inappropriate use of the vehicle jack. The label with the required safety information and instructions may not have been affixed to the vehicle jack as required. This may result in inappropriate use of the vehicle jack. What are the hazards? If the vehicle jack is used inappropriately, the raised vehicle may fall. This would increase the risk of serious injury or death to anyone under or near the vehicle. The supplied jack may not be compliant with the mandatory standard for vehicle jacks, AS/NZS 2693:2007.",https://www.vehiclerecalls.gov.au/recalls/rec-005472
REC-005473,6-Jul-22,ISUZU,D-MAX X-Terrain,2020 - 2021,"7,106","Due to a manufacturing issue, the roller tonneau front cover screws may become loose and fall out. If this occurs the tonneau front cover may detach from the vehicle while driving. Due to a manufacturing issue, the roller tonneau front cover screws may become loose and fall out. If this occurs the tonneau front cover may detach from the vehicle while driving. What are the hazards? If the roller tonneau front cover detaches from the vehicle while driving, it will increase the risk of an accident causing injury or death to other road users or/and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005473
REC-005475,8-Aug-22,Holden,ZB Commodore,2017 - 2020,"13,990","Due to a manufacturing defect, the brake booster may fail. If this occurs the stopping distance in the un-boosted condition would exceeds the distance prescribed by the Australian Design Rule (ADR) 31/03. The vehicles is not compliant with the vehicle standard (ADR) 31/03-Brake Systems for Passenger Cars. Due to a manufacturing defect, the brake booster may fail. If this occurs the stopping distance in the un-boosted condition would exceeds the distance prescribed by the Australian Design Rule (ADR) 31/03. The vehicles is not compliant with the vehicle standard (ADR) 31/03-Brake Systems for Passenger Cars.",https://www.vehiclerecalls.gov.au/recalls/rec-005475
REC-005476,25-Jul-22,MITSUBISHI,OUTLANDER,2021 - 2022,"6,552","Due to a software issue with the In-Vehicle Infotainment (IVI) unit, the rear-view camera display may not display the rear camera image as intended. Due to a software issue with the In-Vehicle Infotainment (IVI) unit, the rear-view camera display may not display the rear camera image as intended. What are the hazards? If the rear-view camera display does not display the rear camera image while reversing the vehicle, it could increase the risk of an accident causing serious injury or death to any persons located behind the vehicle.",https://www.vehiclerecalls.gov.au/recalls/rec-005476
REC-005477,21-Jul-22,RAM Trucks,RAM DT 1500 MY22,2022,723,"Due to a manufacturing defect, the power steering software system may not operate correctly. This may result in a loss of steering control. Due to a manufacturing defect, the power steering software system may not operate correctly. This may result in a loss of steering control. What are the hazards? A loss of steering control could increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005477
REC-005482,1-Aug-22,Ford,Escape,2019 - 2022,140,"The front engine shield and the Active Grille Shutter (AGS) system located under the front of the vehicle requires modifications. In the event of an engine failure and oil/fuel rupture, oil/fuel might be trapped in the engine compartment. An oil/fuel accumulation in the presence of an ignition source may cause a vehicle fire. The front engine shield and the Active Grille Shutter (AGS) system located under the front of the vehicle requires modifications. In the event of an engine failure and oil/fuel rupture, oil/fuel might be trapped in the engine compartment. An oil/fuel accumulation in the presence of an ignition source may cause a vehicle fire.",https://www.vehiclerecalls.gov.au/recalls/rec-005482
REC-005483,3-Aug-22,Mercedes-Benz,X Class,2018 - 2019,"5,889","Due to a manufacturing defect, the rear window may have pressure on it as a seal has shrunk causing the window to shatter. Due to a manufacturing defect, the rear window may have pressure on it as a seal has shrunk causing the window to shatter. What are the hazards? In the event of glass breakage, it would break into small, compact pieces. This could increase the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005483
REC-005484,11-Aug-22,SUBARU,WRX STI,2015 - 2021,"5,702","The reverse lamps may not illuminate and the rear-view reverse camera may not display the rearwards image when reversing as intended. The reverse lamps may not illuminate and the rear-view reverse camera may not display the rearwards image when reversing as intended. What are the hazards? If the reverse lamps and the rear-view reverse camera do not operate as intended, it could increase the risk of an accident causing serious injury or death to persons located behind the vehicle and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005484
REC-005485,3-Aug-22,SUBARU,"2015-2018 Liberty, Outback, Levorg & WRX/ 2017-2019 Impreza & XV",2015 - 2018,"78,617","Due to a manufacturing issue, the Electronic Park Brake (EPB) adaptor cord connector may not operate as intended. This could result in vehicle moving or rolling away whilst the vehicle is engaged in the park position. Due to a manufacturing issue, the Electronic Park Brake (EPB) adaptor cord connector may not operate as intended. This could result in vehicle moving or rolling away whilst the vehicle is engaged in the park position. What are the hazards? If the vehicle moves from its parked position while unattended, it may increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005485
REC-005486,3-Aug-22,Mercedes-Benz,GLB200,2019,1,"The front wheel well to body panels may not have been sealed according to manufacturing specifications. Moisture may enter the interior of the body via the front wheel wells and cause damage to control units and electrical components in the area. If this occurs the instrument cluster may not display information as intended, or the engine may stall during vehicle operation and may not be possible to be restarted. The front wheel well to body panels may not have been sealed according to manufacturing specifications. Moisture may enter the interior of the body via the front wheel wells and cause damage to control units and electrical components in the area. If this occurs the instrument cluster may not display information as intended, or the engine may stall during vehicle operation and may not be possible to be restarted.",https://www.vehiclerecalls.gov.au/recalls/rec-005486
REC-005487,27-Jul-22,Mercedes-Benz,E Class Coupe,2022,4,"Due to a manufacturing issue, the window divider on the right rear side could become loose and may detach from the vehicle whilst driving. Due to a manufacturing issue, the window divider on the right rear side could become loose and may detach from the vehicle whilst driving. What are the hazards? If the window divider becomes detached from the vehicle whilst driving, it will increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005487
REC-005488,1-Aug-22,AUDI,"A6, A7, A8",2012 - 2017,602,"Due to a manufacturing issue, the oil supply in the oil strainer to the turbochargers may become clogged and affect engine operation. Due to a manufacturing issue, the oil supply in the oil strainer to the turbochargers may become clogged and affect engine operation. What are the hazards? A loss of power while driving increases the risk of an accident, causing serious injury or death to vehicle occupants, other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005488
REC-005489,1-Aug-22,Mercedes-Benz,Sprinter,2018 - 2020,"2,139","Due to a software issue, the rear-view camera may not display the rear-view camera image as intended. Due to a software issue, the rear-view camera may not display the rear-view camera image as intended. What are the hazards? If the rear-view camera display does not display the rear-view camera image when reversing the vehicle, it could increase the risk of an accident causing serious injury or death to any persons located behind the vehicle.",https://www.vehiclerecalls.gov.au/recalls/rec-005489
REC-005490,1-Aug-22,BMW,"I20 iX, 2021 - 2022",2021 - 2022,398,"Due to a software issue with the airbag control unit, the airbag warning lamp and warning message may not be illuminated in the instrument cluster as intended. If this occurs the vehicle occupants may not be alerted to the potential failure of the airbag control or pedestrian protection systems. Due to a software issue with the airbag control unit, the airbag warning lamp and warning message may not be illuminated in the instrument cluster as intended. If this occurs the vehicle occupants may not be alerted to the potential failure of the airbag control or pedestrian protection systems. What are the hazards? Absence of an alert to the potential failure of these systems will increase the risk of injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005490
REC-005491,11-Aug-22,JAGUAR,F-PACE,2021 - 2022,216,"Due to a manufacturing issue, the rear turn indicators may not illuminate correctly. Due to a manufacturing issue, the rear turn indicators may not illuminate correctly. What are the hazards? If the rear turn indicators do not operate as intended, other road users may be unable to identify if the vehicle is turning. This could increase the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005491
REC-005492,11-Aug-22,LAND ROVER,"Defender, Discovery, Discovery Sport, Range Rover Sport & Range Rover Velar",2021 - 2022,426,"Due to a manufacturing defect, a damaged front seat belt pre-tensioner tube may have been installed on the seat belt retractor. As a result the seat belt pre-tensioner may not operate as intended. Due to a manufacturing defect, a damaged front seat belt pre-tensioner tube may have been installed on the seat belt retractor. As a result the seat belt pre-tensioner may not operate as intended. What are the hazards? In the event of an accident, if the seat belt pre-tensioner does not operate as intended it may increase the risk of injury or, in the case of a serious accident increase the risk of death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-005492
REC-005493,11-Aug-22,JAGUAR,"F-TYPE, F-PACE, XE & XF",2022,14,"Due to a manufacturing defect, a damaged front seat belt pre-tensioner tube may have been installed on the seat belt retractor. As a result the seat belt pre-tensioner may not operate as intended. Due to a manufacturing defect, a damaged front seat belt pre-tensioner tube may have been installed on the seat belt retractor. As a result the seat belt pre-tensioner may not operate as intended. What are the hazards? In the event of an accident, if the seat belt pre-tensioner does not operate as intended it may increase the risk of injury or, in the case of a serious accident increase the risk of death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-005493
REC-005494,22-Aug-22,LAND ROVER,"Defender 90, 110 & 130",2010 - 2012,350,"Due to a manufacturing issue, the wheel hub assembly and suspension may collapse or detach from the vehicle. If this occurs the vehicle may experience a sudden loss of steering control. Due to a manufacturing issue, the wheel hub assembly and suspension may collapse or detach from the vehicle. If this occurs the vehicle may experience a sudden loss of steering control. What are the hazards? A loss of steering control could increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005494
REC-005498,23-Aug-22,NISSAN,D23 Navara,2021,"2,941",Incorrect front and rear covers were used during manufacturing process of the vehicle owner’s manual and therefore the content provided does not match the vehicle. Incorrect front and rear covers were used during manufacturing process of the vehicle owner’s manual and therefore the content provided does not match the vehicle. What are the hazards? The owner’s manual may contain incorrect information relating to the vehicle’s jacking points. A misuse of a jack up point may increase the risk of an accident causing injury to vehicle users.,https://www.vehiclerecalls.gov.au/recalls/rec-005498
REC-005500,22-Aug-22,HYUNDAI,i30 Sedan (CN7),2020 - 2022,"5,211","Due to a manufacturing issue, the seat belt pre-tensioner inflator may fracture when deployed in the event of an accident. Due to a manufacturing issue, the seat belt pre-tensioner inflator may fracture when deployed in the event of an accident. What are the hazards? If the seat belt pre-tensioner inflator fractures, metal fragments may be propelled at high speed towards the vehicle occupants causing serious injury.",https://www.vehiclerecalls.gov.au/recalls/rec-005500
REC-005502,25-Aug-22,VOLKSWAGEN,Tiguan Allspace,2021,137,"Due to a manufacturing issue, the rear wheel bearing housing may fracture. If this occurs it could result in loss of vehicle control. Due to a manufacturing issue, the rear wheel bearing housing may fracture. If this occurs it could result in loss of vehicle control. What are the hazards? A loss of vehicle control could increase the risk of an accident causing injury or death of vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005502
REC-005503,23-Aug-22,BMW,"I20 iX 2022, G26 i4 2021",2021 - 2022,7,"Due to a manufacturing defect, the high voltage battery does not meet specifications and may result in an electrical short circuit. If this occurs it may result in a vehicle fire. Due to a manufacturing defect, the high voltage battery does not meet specifications and may result in an electrical short circuit. If this occurs it may result in a vehicle fire. What are the hazards? A vehicle fire may increase the risk of serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005503
REC-005506,31-Aug-22,KIA,SP2 Seltos,2019 - 2020,"4,639","The piston rings fitted to certain vehicles may not meet manufacturing specifications and could cause engine failure and vehicle stalling. This will result in an unexpected loss of vehicle power. The piston rings fitted to certain vehicles may not meet manufacturing specifications and could cause engine failure and vehicle stalling. This will result in an unexpected loss of vehicle power. What are the hazards? A damaged engine may result in the vehicle staling and/or engine oil leaking, increasing the risk of an accident and/or vehicle fire causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005506
REC-005507,25-Aug-22,Mercedes-Benz,AMG EQS 53,2022,30,"The connection depth of the front towing point may not meet manufacturing specifications. As a result, the front tow point connection could detach from the vehicle during frontal towing. The connection depth of the front towing point may not meet manufacturing specifications. As a result, the front tow point connection could detach from the vehicle during frontal towing. What are the hazards? If the front tow point detaches from the vehicle during use, it will increase the risk of serious injury or death to vehicle occupants, bystanders and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005507
REC-005508,31-Aug-22,Mercedes-Benz,Sprinter,2021,5,"The front suspension torsion bar may not have screwed into the torsion bar linkage as per specifications. This could cause reduced stability while driving at high speed and result in a loss of vehicle control. The front suspension torsion bar may not have screwed into the torsion bar linkage as per specifications. This could cause reduced stability while driving at high speed and result in a loss of vehicle control. What are the hazards? A loss of vehicle control will increase the risk of an accident, causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005508
REC-005510,31-Aug-22,Mercedes-Benz,GLC 300 e,2020 - 2022,492,"Due to a manufacturing issue, the transmission wiring may have been routed incorrectly and may contact the front driveshaft. This may result in an unexpected loss of traction. Due to a manufacturing issue, the transmission wiring may have been routed incorrectly and may contact the front driveshaft. This may result in an unexpected loss of traction. What are the hazards? A loss of traction increases the risk of a crash resulting in serious injury or death to vehicle occupants, other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005510
REC-005511,7-Sep-22,Mercedes-Benz,Marco Polo,2021,33,"Due to a manufacturing issue, the wiring harness may become damaged and could result in function failures, or a short circuit. This could cause a vehicle fire. Due to a manufacturing issue, the wiring harness may become damaged and could result in function failures, or a short circuit. This could cause a vehicle fire. What are the hazards? A vehicle fire could increase the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005511
REC-005513,7-Sep-22,Mercedes-Benz,"CLA, A and GLB Class",2020,"4,043","Due to a manufacturing defect, the fuel feed hose may become chafed and could cause a fuel leak in the engine compartment. This may result in a vehicle fire. Due to a manufacturing defect, the fuel feed hose may become chafed and could cause a fuel leak in the engine compartment. This may result in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users or bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005513
REC-005514,5-Sep-22,SUZUKI,"A2L310 (SWIFT), A2L414 (SWIFT Sports), A1K310 (BALENO), APK414 (VITARA) & AKK414 (S-CROSS)",2016 - 2022,"18,144","Due to a manufacturing defect, the valve between the engine and the vacuum assist brake booster may swell under certain conditions. As a result, an increased brake pedal effort may be required to achieve the expected stopping distance. Note: The brake system remains functional. Due to a manufacturing defect, the valve between the engine and the vacuum assist brake booster may swell under certain conditions. As a result, an increased brake pedal effort may be required to achieve the expected stopping distance. Note: The brake system remains functional. What are the hazards? If the braking system does not operate as intended, it could increase the risk of a crash resulting in serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005514
REC-005515,5-Sep-22,SUZUKI,"A2L310 (SWIFT), A2L414 (SWIFT Sports), A1K310 (BALENO), APK414 (VITARA) & AKK414 (S-CROSS)",2016 - 2022,"3,466","Due to a manufacturing defect, the valve between the engine and the vacuum assist brake booster may swell under certain conditions. As a result, an increased brake pedal effort may be required to achieve the expected stopping distance. Note: The brake system remains functional. Due to a manufacturing defect, the valve between the engine and the vacuum assist brake booster may swell under certain conditions. As a result, an increased brake pedal effort may be required to achieve the expected stopping distance. Note: The brake system remains functional. What are the hazards? If the braking system does not operate as intended, it could increase the risk of a crash resulting in serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005515
REC-005517,5-Sep-22,Mercedes-Benz,"CLS, GT and E Class",2018 - 2022,701,"Due to a manufacturing defect the transmission wiring harness may be damaged. The damage can allow moisture into the wiring harness, which may cause a short circuit resulting in a vehicle fire. Due to a manufacturing defect the transmission wiring harness may be damaged. The damage can allow moisture into the wiring harness, which may cause a short circuit resulting in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users, bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005517
REC-005518,5-Sep-22,HYUNDAI,NEXO (FE),2018 - 2021,30,"Due to a manufacturing defect, the hydrogen gas detection sensors may deteriorate over time. This may lead to a failure to detect gas leaks and illuminate the warning light to the operator/driver. Due to a manufacturing defect, the hydrogen gas detection sensors may deteriorate over time. This may lead to a failure to detect gas leaks and illuminate the warning light to the operator/driver. What are the hazards? In the event of a gas leak, failure to alert the operator/driver increases the risk of fire. This could cause serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005518
REC-005519,6-Oct-22,Chevrolet,CORVETTE,2022,109,"Due to a software issue, when the master light switch is set to automatic light control, the headlights, tail lamps, park lamps and license plate lamps will be turned ON and the day time running lamps will be turned OFF. Due to a software issue, when the master light switch is set to automatic light control, the headlights, tail lamps, park lamps and license plate lamps will be turned ON and the day time running lamps will be turned OFF. What are the hazards? The vehicles are not compliant with the Australian Design Rule (ADR13/00)-Installation of Lighting.",https://www.vehiclerecalls.gov.au/recalls/rec-005519
REC-005520,15-Sep-22,KIA,YP Carnival & UM Sorento,2015,"1,512","The Shift lock holder may have been produced out of specification, as a result the shift lock mechanism may not return to the locked position allowing the gear selector to be moved from park without depressing the brake pedal. The Shift lock holder may have been produced out of specification, as a result the shift lock mechanism may not return to the locked position allowing the gear selector to be moved from park without depressing the brake pedal. What are the hazards? If the gear selector is unintentionally moved out of park without depressing the brake pedal, it may result in a vehicle to roll-away potentially increasing the risk of injury or death to occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005520
REC-005521,13-Sep-22,LAND ROVER,RANGE ROVER,2020 - 2022,19,"Due to a manufacturing defect, the exhaust bracket fixing nuts may not have been tightened to specifications and could become loose or detach over time. This may cause hot exhaust gas to leak into the engine bay and could result in a vehicle fire. Due to a manufacturing defect, the exhaust bracket fixing nuts may not have been tightened to specifications and could become loose or detach over time. This may cause hot exhaust gas to leak into the engine bay and could result in a vehicle fire. What are the hazards? A vehicle fire may increase the risk of serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005521
REC-005522,13-Sep-22,Ford,FOCUS,2021,8,"Due to a manufacturing issue, the sunroof frame may not have been bonded correctly to the body and could become loose and detach from the vehicle. Due to a manufacturing issue, the sunroof frame may not have been bonded correctly to the body and could become loose and detach from the vehicle. What are the hazards? If the sunroof frame detaches from the vehicle, it could increase the risk of an accident causing injury or death to other road user and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-005522
